login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,feePercent,paid,drop,studentNumber
3,3,10,7,7,10,10,10,10,5,10,10,7.3333333333333,9,10,7.3333333333333,9,1,0,no,0010116020243
3,3,10,5,5,10,5,7,10,5,10,10,5,7.3333333333333,10,5,7.3333333333333,1,0,no,0010118020265
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,0,0,out,001011261018
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118033049
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,0010114120992
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0755118032058
3,3,10,7,7,10,10,10,10,10,10,10,9,9,10,9,9,1,0,no,001011260522
3,3,10,10,5,5,10,5,5,10,5,6.6666666666667,10,5,6.6666666666667,10,5,1,0,no,0021118032304
3,3,10,5,5,10,5,5,10,5,10,10,5,6.6666666666667,10,5,6.6666666666667,1,0,no,0010114120632
3,2,10,5,10,10,5,7,0,0,0,10,5,8.5,6.6666666666667,3.3333333333333,5.6666666666667,1,0,no,0021115080075
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010118022118
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010118010279
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021114121499
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010115070999
3,3,10,5,7,7,5,7,10,5,10,9,5,8,9,5,8,1,0,no,0021115120728
3,3,10,5,5,10,7,7,10,7,7,10,6.3333333333333,6.3333333333333,10,6.3333333333333,6.3333333333333,1,0,no,0010115041805
3,3,10,5,7,10,5,7,10,5,10,10,5,8,10,5,8,1,0,no,0010115020234
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,0021118031520
3,3,7,10,5,7,5,5,10,10,10,8,8.3333333333333,6.6666666666667,8,8.3333333333333,6.6666666666667,1,0,no,0010117121640
3,3,7,10,5,10,10,5,10,10,5,9,10,5,9,10,5,1,0,no,0021115040472
3,3,10,5,7,10,5,7,10,5,10,10,5,8,10,5,8,1,0,no,0010118022374
3,3,10,7,5,10,7,5,10,7,5,10,7,5,10,7,5,1,0,no,0020118033071
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,out,0010118032330
3,2,5,7,5,0,0,0,10,5,5,7.5,6,5,5,4,3.3333333333333,1,0,no,0010115071793
3,3,10,5,7,10,5,7,10,5,10,10,5,8,10,5,8,1,0,no,0010118033023
3,3,10,10,5,10,10,5,2,10,5,7.3333333333333,10,5,7.3333333333333,10,5,1,0,no,0021115051168
3,3,7,7,7,10,0,5,10,10,10,9,5.6666666666667,7.3333333333333,9,5.6666666666667,7.3333333333333,1,0,no,0010117062327
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0028118032448
3,3,10,10,5,10,10,5,10,10,10,10,10,6.6666666666667,10,10,6.6666666666667,1,0,no,0010118032511
3,2,0,0,0,10,5,7,10,5,7,10,5,7,6.6666666666667,3.3333333333333,4.6666666666667,1,0,no,0010118020777
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,drop,0010118010403
3,3,5,7,5,5,5,5,5,5,5,5,5.6666666666667,5,5,5.6666666666667,5,1,0,no,0010118050458
3,3,10,5,5,10,10,5,10,10,5,10,8.3333333333333,5,10,8.3333333333333,5,1,0,no,0021118031499
3,3,7,5,7,10,5,7,10,5,10,9,5,8,9,5,8,1,0,no,0010118032746
3,3,2,10,10,2,10,10,2,10,10,2,10,10,2,10,10,1.01,0,no,0010118031481
3,3,7,7,5,5,10,5,10,7,5,7.3333333333333,8,5,7.3333333333333,8,5,1,0,no,0021118032806
3,3,10,10,7,10,7,7,10,7,7,10,8,7,10,8,7,1,0,no,0010118033270
3,2,10,10,5,0,0,0,10,10,5,10,10,5,6.6666666666667,6.6666666666667,3.3333333333333,1,0,no,0020115071366
3,3,2,5,10,2,5,10,10,5,10,4.6666666666667,5,10,4.6666666666667,5,10,1,0,no,0010118032264
3,3,10,5,7,10,5,5,7,5,5,9,5,5.6666666666667,9,5,5.6666666666667,1,0,no,0010118030595
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0571118033634
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0028118032969
3,3,10,5,5,10,7,5,10,7,5,10,6.3333333333333,5,10,6.3333333333333,5,1,0,no,0021118030511
3,3,5,10,5,10,10,10,10,10,10,8.3333333333333,10,8.3333333333333,8.3333333333333,10,8.3333333333333,1,0,no,0010115081212
3,3,2,10,5,10,5,5,10,5,5,7.3333333333333,6.6666666666667,5,7.3333333333333,6.6666666666667,5,1,1,no,0755118022340
3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,0,no,0010118040424
3,3,5,10,5,5,10,5,0,10,5,3.3333333333333,10,5,3.3333333333333,10,5,1,0,no,0592116112272
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0010118040907
3,3,10,5,10,10,5,7,10,5,10,10,5,9,10,5,9,1,0,no,0010118020214
3,3,10,5,5,10,7,5,10,7,5,10,6.3333333333333,5,10,6.3333333333333,5,1,0,no,0021116023948
3,3,10,10,5,7,10,5,10,10,5,9,10,5,9,10,5,1,0,no,0023118010877
3,3,10,7,5,10,10,5,10,7,5,10,8,5,10,8,5,1,0,no,0755118020612
2,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021115101677
3,3,10,5,5,10,5,5,2,7,5,7.3333333333333,5.6666666666667,5,7.3333333333333,5.6666666666667,5,1,0,no,0371118030612
3,3,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,1,0,no,0020118050525
3,3,10,5,5,10,5,5,10,7,5,10,5.6666666666667,5,10,5.6666666666667,5,1,0,no,0021118040630
3,3,7,5,10,10,5,10,7,5,10,8,5,10,8,5,10,1,0,no,0010118040078
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0755116010310
3,3,0,0,0,10,5,10,10,5,10,10,5,10,6.6666666666667,3.3333333333333,6.6666666666667,1,0,no,0010115120700
3,3,10,5,10,10,5,7,10,5,10,10,5,9,10,5,9,1,0,no,0010118021549
3,3,10,5,5,10,5,5,10,5,2,10,5,4,10,5,4,1,0,no,0010118032018
3,3,10,7,5,10,10,5,10,10,5,10,9,5,10,9,5,1,0,no,0021115122062
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118022353
3,3,10,7,5,10,10,5,10,10,5,10,9,5,10,9,5,1,0,no,0021117120579
2,2,7,5,7,0,0,0,10,5,5,8.5,5,6,5.6666666666667,3.3333333333333,4,0,0,out,0010118032388
2,1,0,0,0,10,10,10,0,0,0,10,10,10,3.3333333333333,3.3333333333333,3.3333333333333,1,0,no,0010118033181
3,3,5,5,7,10,5,10,10,5,10,8.3333333333333,5,9,8.3333333333333,5,9,1,0,no,0010118032999
0,1,0,0,0,0,0,0,10,10,5,10,10,5,3.3333333333333,3.3333333333333,1.6666666666667,1,0,no,0592118030355
3,1,0,0,0,0,0,0,10,5,7,10,5,7,3.3333333333333,1.6666666666667,2.3333333333333,1,0,no,0010116011886
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0531118040626
3,3,10,5,5,10,5,10,10,5,10,10,5,8.3333333333333,10,5,8.3333333333333,1,0,no,0010117011155
3,3,10,7,5,10,7,5,7,7,5,9,7,5,9,7,5,1,0,no,0023118032633
3,3,7,2,5,2,5,5,10,7,5,6.3333333333333,4.6666666666667,5,6.3333333333333,4.6666666666667,5,0,0,out,0025118021226
3,3,5,5,7,10,5,7,10,5,7,8.3333333333333,5,7,8.3333333333333,5,7,1.03,0,no,0028116030978
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0029116021530
3,3,10,7,7,10,10,10,10,10,10,10,9,9,10,9,9,1,0,no,0010118022217
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118033473
3,3,7,7,5,10,10,5,10,10,5,9,9,5,9,9,5,1,0,no,0021118030616
2,2,0,0,0,10,10,5,10,10,5,10,10,5,6.6666666666667,6.6666666666667,3.3333333333333,1,0,no,0531118021302
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0021118033765
3,3,10,5,5,10,5,10,10,5,10,10,5,8.3333333333333,10,5,8.3333333333333,1,0,no,0021118032977
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118030472
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0010118022387
3,3,10,10,7,10,5,5,10,10,7,10,8.3333333333333,6.3333333333333,10,8.3333333333333,6.3333333333333,1,0,no,0010118022130
3,3,10,5,7,10,5,7,10,5,10,10,5,8,10,5,8,1,0,no,0010118032549
3,3,10,10,10,10,10,10,10,10,7,10,10,9,10,10,9,1,0,no,0010118031862
3,3,10,10,5,10,10,5,7,10,5,9,10,5,9,10,5,1,0,no,0021117090107
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0027118032881
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0025117120343
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0020116110136
3,3,10,5,7,10,5,5,10,5,7,10,5,6.3333333333333,10,5,6.3333333333333,1,0,no,0010118033223
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,0755117031300
3,3,10,10,5,7,10,5,10,10,5,9,10,5,9,10,5,1,0,no,0027116060912
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,out,0025118032891
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0020117120896
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0028118031368
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0592118030728
3,3,10,7,5,10,10,5,10,10,5,10,9,5,10,9,5,1,0,no,0025118031130
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0023118020954
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,0010118020319
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,0571118010415
3,3,10,7,5,10,10,5,10,10,5,10,9,5,10,9,5,1,0,no,0027118033379
3,2,10,5,7,0,0,0,10,10,5,10,7.5,6,6.6666666666667,5,4,1,0,no,0010116112171
3,3,10,10,7,10,10,7,10,7,7,10,9,7,10,9,7,0,0,drop,0010116100685
3,3,2,10,5,2,10,5,2,10,5,2,10,5,2,10,5,1,0,no,0021118033734
3,3,10,5,5,10,5,5,10,7,5,10,5.6666666666667,5,10,5.6666666666667,5,1,0,no,0021118011285
3,3,7,10,5,7,10,5,7,10,5,7,10,5,7,10,5,1,0,no,0755118020127
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0592116120936
3,3,7,5,7,7,5,7,10,5,7,8,5,7,8,5,7,1,0,no,0010118011002
3,3,10,7,7,10,10,7,10,10,7,10,9,7,10,9,7,1,0,no,0010116072501
3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,0,no,0010118032370
3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,0,no,0592116110401
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0028117032119
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1.07,0,no,0010117120178
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0028118033387
3,3,10,10,5,5,10,5,10,10,5,8.3333333333333,10,5,8.3333333333333,10,5,1,0,no,0020118031785
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0571116101308
3,3,10,5,10,10,5,7,10,5,7,10,5,8,10,5,8,1,0,no,0010118033491
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0020118040624
3,3,10,5,7,10,10,10,10,10,10,10,8.3333333333333,9,10,8.3333333333333,9,1,0,no,0010118020244
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0571118020595
3,3,10,10,5,10,10,5,10,7,5,10,9,5,10,9,5,1,0,no,0021118021881
2,3,10,10,5,10,7,5,10,7,5,10,8,5,10,8,5,1,0,no,0755116075981
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118033328
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010118033152
3,3,10,10,10,10,10,10,10,10,7,10,10,9,10,10,9,1,0,no,0010118020846
3,3,10,10,5,10,5,5,10,5,5,10,6.6666666666667,5,10,6.6666666666667,5,1,0,no,0021116110976
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118033692
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0571118032575
3,3,10,7,5,10,7,5,10,7,5,10,7,5,10,7,5,1,0,no,0023118032607
3,3,10,10,10,10,10,10,7,10,7,9,10,9,9,10,9,1,0,no,0010118040160
3,3,2,10,5,5,10,5,0,10,5,2.3333333333333,10,5,2.3333333333333,10,5,1,0,no,0029118050128
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118030540
3,2,10,10,5,10,10,5,0,0,0,10,10,5,6.6666666666667,6.6666666666667,3.3333333333333,1,0,no,0021116121115
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0010118033502
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0371118031685
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,0021116095145
3,3,10,5,7,10,5,7,10,5,10,10,5,8,10,5,8,1,0,no,0021117034192
2,2,7,5,5,0,0,0,10,5,5,8.5,5,5,5.6666666666667,3.3333333333333,3.3333333333333,0,0,out,0755117030373
3,3,7,5,7,10,5,10,10,5,10,9,5,9,9,5,9,1,0,no,0021118030246
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118032709
3,3,7,5,7,10,5,7,10,5,7,9,5,7,9,5,7,1,0,no,0010116121140
3,3,10,10,5,5,10,5,5,10,5,6.6666666666667,10,5,6.6666666666667,10,5,1,0,no,0028118033046
3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,0,no,0010116101729
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,0021117110064
3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,0,no,0010118033565
3,3,10,10,5,10,7,5,10,7,5,10,8,5,10,8,5,1,0,no,0021118060284
3,3,10,5,5,10,5,7,10,5,7,10,5,6.3333333333333,10,5,6.3333333333333,1,0,no,0010118031736
3,3,10,10,5,7,10,5,7,10,5,8,10,5,8,10,5,1,0,no,0755118040111
3,3,7,10,5,10,10,5,10,10,5,9,10,5,9,10,5,1,0,no,0021118040577
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0025118031850
3,3,10,7,5,10,10,5,10,10,5,10,9,5,10,9,5,1,0,no,0027118040640
2,2,7,7,5,10,7,5,0,0,0,8.5,7,5,5.6666666666667,4.6666666666667,3.3333333333333,1,0,no,0755117120789
3,3,10,5,7,10,5,7,10,5,10,10,5,8,10,5,8,1,0,no,0021118021146
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,out,0021118020157
3,2,5,10,10,10,10,10,0,0,0,7.5,10,10,5,6.6666666666667,6.6666666666667,1,0,no,0028117060716
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0755116122527
3,3,2,10,5,10,10,5,2,10,5,4.6666666666667,10,5,4.6666666666667,10,5,1,0,no,0020118050085
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010116113788
2,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0010118032016
3,3,10,5,5,7,7,5,10,7,5,9,6.3333333333333,5,9,6.3333333333333,5,1,0,no,0592118020198
3,3,10,10,5,10,7,5,10,10,10,10,9,6.6666666666667,10,9,6.6666666666667,1,0,no,0371118050696
3,2,10,5,5,10,10,5,0,0,0,10,7.5,5,6.6666666666667,5,3.3333333333333,1,0,no,0023118031827
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010118033638
2,1,0,0,0,10,5,7,0,0,0,10,5,7,3.3333333333333,1.6666666666667,2.3333333333333,1,0,no,0010118031561
3,3,10,7,5,10,10,5,10,7,5,10,8,5,10,8,5,1,0,no,0571116121860
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no,0021117110242
2,3,7,10,5,7,10,5,10,10,5,8,10,5,8,10,5,1,0,no,0021118040787
3,3,7,10,5,10,7,5,7,7,5,8,8,5,8,8,5,1,0,no,0021117021805
3,3,10,10,5,10,7,5,10,7,5,10,8,5,10,8,5,0,0,drop,0021118033712
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,0029118011330
3,3,7,10,5,10,10,5,7,10,5,8,10,5,8,10,5,1,0,no,0755117030839
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118050306
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118031586
6,6,10,5,7,10,7,7,7,7,7,9,6.3333333333333,7,9,6.3333333333333,7,0,0,out,0010118040962
3,3,10,7,5,7,5,5,2,7,5,6.3333333333333,6.3333333333333,5,6.3333333333333,6.3333333333333,5,0.92,0,no,0027117011996
3,3,10,7,5,10,7,5,10,7,5,10,7,5,10,7,5,1,0,no,0755118031097
3,3,10,7,5,10,10,5,7,10,5,9,9,5,9,9,5,1,0,no,0571116124148
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0010118033677
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0592117035080
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118032570
3,3,10,10,10,5,10,5,5,7,7,6.6666666666667,9,7.3333333333333,6.6666666666667,9,7.3333333333333,1,0,no,0010118030310
3,3,10,5,7,10,5,10,10,5,10,10,5,9,10,5,9,1,0,no,0021118031465
3,3,10,10,5,5,10,5,0,10,5,5,10,5,5,10,5,1,0,no,0531118031929
3,3,10,7,5,10,7,5,10,7,5,10,7,5,10,7,5,1,0,no,0021118031351
3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,0,no,0010118032515
3,3,10,5,5,10,5,5,10,7,5,10,5.6666666666667,5,10,5.6666666666667,5,1,0,no,0020117032132
3,3,5,10,5,5,10,5,10,10,5,6.6666666666667,10,5,6.6666666666667,10,5,1,0,no,0108888000010
3,3,10,10,5,10,7,5,10,7,5,10,8,5,10,8,5,1,0,no,0021118050542
3,3,10,10,5,10,10,5,5,10,5,8.3333333333333,10,5,8.3333333333333,10,5,1,0,no,0010118021318
3,3,10,5,5,10,5,5,7,7,7,9,5.6666666666667,5.6666666666667,9,5.6666666666667,5.6666666666667,1,0,no,0010117100503
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0025118022322
3,3,10,10,5,10,7,5,10,7,5,10,8,5,10,8,5,1,0,no,0021117110376
3,3,10,5,5,10,5,7,10,5,10,10,5,7.3333333333333,10,5,7.3333333333333,1,0,no,0010118021145
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010118033113
3,3,10,7,5,10,5,5,10,5,5,10,5.6666666666667,5,10,5.6666666666667,5,1,0,no,0021117061106
3,3,10,7,5,10,7,5,10,10,5,10,8,5,10,8,5,1,0,no,0021118031147
3,2,10,10,5,10,10,5,0,0,0,10,10,5,6.6666666666667,6.6666666666667,3.3333333333333,1,0,no,0755118032612
3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,0,no,0010118030295
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0010117090393
3,3,10,5,5,10,10,5,10,10,5,10,8.3333333333333,5,10,8.3333333333333,5,1,0,no,0020117032937
3,3,10,5,7,10,5,7,10,5,10,10,5,8,10,5,8,1,0,no,0010118031924
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0025118032251
3,3,10,7,5,0,10,5,0,10,5,3.3333333333333,9,5,3.3333333333333,9,5,1,0,no,0027118030433
3,3,10,5,7,10,5,5,10,5,5,10,5,5.6666666666667,10,5,5.6666666666667,1,0,no,0010117090020
3,3,10,5,7,10,5,5,10,5,5,10,5,5.6666666666667,10,5,5.6666666666667,1,0,no,0010117070049
3,3,10,5,7,10,5,7,10,5,10,10,5,8,10,5,8,0,0,out,0010118032922
3,3,10,5,7,7,5,7,10,5,7,9,5,7,9,5,7,1,0,no,0021118031866
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118040284
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0021117100443
3,2,10,5,5,7,7,5,0,0,0,8.5,6,5,5.6666666666667,4,3.3333333333333,1,0,no,0023118031963
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010118030208
3,3,10,5,5,10,5,10,10,5,10,10,5,8.3333333333333,10,5,8.3333333333333,1,0,no,0010117023429
2,3,7,5,5,10,5,7,10,5,7,9,5,6.3333333333333,9,5,6.3333333333333,1,0,no,0010117023514
3,3,10,7,7,10,10,7,10,7,5,10,8,6.3333333333333,10,8,6.3333333333333,1,0,no,0021118020118
3,3,5,10,5,10,10,5,10,10,5,8.3333333333333,10,5,8.3333333333333,10,5,1,0,no,0571118030043
3,3,10,5,10,10,5,7,7,5,7,9,5,8,9,5,8,1,0,no,0010118030593
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0571117050621
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0028117050902
3,3,10,5,10,10,5,7,10,5,7,10,5,8,10,5,8,1,0,no,0010118031636
3,3,10,10,5,7,10,5,10,10,5,9,10,5,9,10,5,1,0,no,0029117050527
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0025118030812
3,3,10,5,5,10,7,5,10,10,5,10,7.3333333333333,5,10,7.3333333333333,5,1,0,no,0025118031344
3,3,7,7,7,7,7,7,7,10,10,7,8,8,7,8,8,1,0,no,0010117120126
3,3,10,7,5,10,10,5,10,10,5,10,9,5,10,9,5,0.92,0,no,0108888000923
3,3,10,7,5,10,10,5,10,10,5,10,9,5,10,9,5,1,0,no,0755117050564
3,3,5,7,5,10,10,5,10,10,5,8.3333333333333,9,5,8.3333333333333,9,5,1,0,no,0020118032479
3,3,2,10,10,10,10,10,10,10,10,7.3333333333333,10,10,7.3333333333333,10,10,1,0,no,0010118030740
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0531118020228
3,3,10,5,5,10,5,10,10,5,10,10,5,8.3333333333333,10,5,8.3333333333333,1,0,no,0021118031177
0,1,7,5,5,0,0,0,0,0,0,7,5,5,2.3333333333333,1.6666666666667,1.6666666666667,0,0,out,0021118033542
3,3,10,10,7,10,10,7,10,10,10,10,10,8,10,10,8,1,0,no,0010118030069
3,2,0,0,0,7,10,7,7,10,7,7,10,7,4.6666666666667,6.6666666666667,4.6666666666667,0,0,out,0010117110808
3,3,10,7,10,10,10,10,10,10,5,10,9,8.3333333333333,10,9,8.3333333333333,1,0,no,0010117034606
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118010304
3,2,10,10,5,0,0,0,7,7,5,8.5,8.5,5,5.6666666666667,5.6666666666667,3.3333333333333,1,0,no,0371118050538
