login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop,studentNum
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010118033749
2,2,10,5,7,10,5,10,0,0,0,0,0,0,0,0,0,10,5,8.5,4,2,3.4,no,0010118030718
2,2,10,10,5,5,7,5,0,0,0,0,0,0,0,0,0,7.5,8.5,5,3,3.4,2,no,0021118030507
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0027118040812
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0571118033441
2,2,10,5,7,10,10,10,0,0,0,0,0,0,0,0,0,10,7.5,8.5,4,3,3.4,no,0010118030827
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0010118033001
2,2,2,10,10,10,10,10,0,0,0,0,0,0,0,0,0,6,10,10,2.4,4,4,no,0010118033419
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0010118030270
2,2,10,5,5,10,5,5,0,0,0,0,0,0,0,0,0,10,5,5,4,2,2,no,0755117080330
2,2,10,5,5,5,5,5,0,0,0,0,0,0,0,0,0,7.5,5,5,3,2,2,no,0010118031667
2,1,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,10,7,5,2,1.4,1,no,0028118033540
2,2,10,7,5,10,10,5,0,0,0,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0531118022366
2,2,7,10,5,10,10,5,0,0,0,0,0,0,0,0,0,8.5,10,5,3.4,4,2,no,0021118031985
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0021118021751
2,2,7,10,7,2,7,5,0,0,0,0,0,0,0,0,0,4.5,8.5,6,1.8,3.4,2.4,no,0010118032382
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0010117037122
2,2,0,0,0,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,2,1,1.4,drop,0010117080252
2,2,10,10,5,5,10,5,0,0,0,0,0,0,0,0,0,7.5,10,5,3,4,2,no,0020118032273
2,2,10,7,7,10,10,10,0,0,0,0,0,0,0,0,0,10,8.5,8.5,4,3.4,3.4,no,0010118033144
2,1,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,2,2,1,no,0029118031713
2,1,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,1.4,1,1.4,no,0010118031898
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028118031213
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0027117080063
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0021118033844
2,2,10,10,7,10,10,7,0,0,0,0,0,0,0,0,0,10,10,7,4,4,2.8,no,0010118032981
2,2,10,10,10,10,10,7,0,0,0,0,0,0,0,0,0,10,10,8.5,4,4,3.4,no,0010118032771
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118031733
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028118032687
2,2,7,10,5,7,10,5,0,0,0,0,0,0,0,0,0,7,10,5,2.8,4,2,no,0531118032500
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0755117100042
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0010118040298
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028118031915
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0020117090190
2,2,10,5,7,10,5,5,0,0,0,0,0,0,0,0,0,10,5,6,4,2,2.4,no,0010117091007
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0592118031864
2,2,7,10,5,7,10,5,0,0,0,0,0,0,0,0,0,7,10,5,2.8,4,2,no,0029118033274
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118040280
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028117111159
2,2,10,5,5,10,7,5,0,0,0,0,0,0,0,0,0,10,6,5,4,2.4,2,no,0592117080247
2,2,0,0,0,10,10,7,0,0,0,0,0,0,0,0,0,10,10,7,2,2,1.4,no,0010117052048
2,2,10,7,5,10,10,5,0,0,0,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0027117061304
2,2,10,10,7,10,10,10,0,0,0,0,0,0,0,0,0,10,10,8.5,4,4,3.4,no,0010118030435
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0021118033051
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0010117071641
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0020118032688
2,2,10,5,7,10,5,10,0,0,0,0,0,0,0,0,0,10,5,8.5,4,2,3.4,no,0010118033166
2,2,7,5,2,10,5,5,0,0,0,0,0,0,0,0,0,8.5,5,3.5,3.4,2,1.4,no,0531118020203
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021117110023
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021117100019
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0592118031759
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118033605
2,2,10,10,7,7,10,5,0,0,0,0,0,0,0,0,0,8.5,10,6,3.4,4,2.4,no,0010118033054
2,2,7,10,5,7,10,5,0,0,0,0,0,0,0,0,0,7,10,5,2.8,4,2,no,0021118033013
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028118032329
2,2,10,10,10,10,7,7,0,0,0,0,0,0,0,0,0,10,8.5,8.5,4,3.4,3.4,no,0010118032964
2,2,10,5,10,10,5,7,0,0,0,0,0,0,0,0,0,10,5,8.5,4,2,3.4,no,0010118032454
2,2,7,5,7,7,5,7,0,0,0,0,0,0,0,0,0,7,5,7,2.8,2,2.8,no,0010118031363
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0025118033522
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028118033169
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0029118031874
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0571118030236
2,2,10,5,10,10,5,5,0,0,0,0,0,0,0,0,0,10,5,7.5,4,2,3,no,0010118033537
2,2,10,5,7,7,5,7,0,0,0,0,0,0,0,0,0,8.5,5,7,3.4,2,2.8,no,0010118030030
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0010118021640
2,2,10,7,10,10,7,10,0,0,0,0,0,0,0,0,0,10,7,10,4,2.8,4,no,0010118033294
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118030700
1,2,5,5,5,10,5,5,0,0,0,0,0,0,0,0,0,7.5,5,5,3,2,2,no,0755118033251
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0010118030059
2,2,0,0,0,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,2,2,1,no,0021118033790
