login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop
0,4,2,3,0,0,3,4,2,0,2,5,5,1,2,3,1,4.5100336,1.1536703,3.1541405,2.4525433,2.2334642,3.9225845,no
5,1,5,0,3,0,5,2,0,2,3,1,0,0,1,1,5,4.6851196,3.2796538,4.8537726,2.6483395,0.76402783,1.0286651,drop
1,5,5,5,0,2,1,4,5,4,5,5,0,1,4,2,0,0.45203656,1.8549776,3.744172,2.490428,3.7613463,2.8356457,drop
1,5,5,3,1,4,2,4,4,1,3,0,2,3,3,2,0,2.3317747,2.7646563,3.121269,0.36736876,3.8847277,4.3078265,no
3,5,5,1,4,4,5,3,4,4,1,0,5,1,4,1,2,1.1764362,3.2059405,0.91448486,4.200806,1.7867637,3.1229546,no
1,4,5,2,4,3,3,3,3,3,0,2,0,1,2,4,1,0.16581178,2.9483957,4.267551,1.9670334,1.9262397,1.9770596,no
4,4,5,5,3,2,1,1,4,1,0,4,4,5,5,0,5,4.6396728,2.3652005,4.8258147,3.8397894,0.85670114,3.3970757,no
2,4,5,4,4,3,1,3,0,3,1,1,5,2,5,3,5,0.24311036,4.2075534,3.5661829,0.49618363,3.8411574,0.8425358,drop
5,5,4,1,3,0,5,1,1,2,3,5,3,0,4,4,4,0.45120835,2.2843857,4.6632385,3.5548368,2.4461408,1.3055525,no
1,1,5,0,5,1,5,3,1,4,3,2,1,4,5,5,4,2.4602768,2.3651602,4.5029473,4.174586,3.476405,1.7829726,drop
3,4,2,1,2,0,5,5,3,3,4,3,1,1,0,3,1,2.2435877,2.4322872,1.1553448,2.8926017,4.926548,2.0331078,no
0,2,3,4,0,0,1,1,3,5,5,5,5,1,1,4,5,0.15630335,1.2767444,3.1047962,2.482265,1.5835478,2.233976,no
0,3,5,3,5,5,3,3,2,1,0,3,1,2,3,5,5,3.0965538,4.975082,0.478774,1.1284306,1.6335263,0.7217026,drop
0,2,4,5,5,3,1,5,5,2,3,2,5,3,1,3,2,4.830418,4.488135,0.513269,4.9148054,1.6905329,3.914131,drop
2,5,3,0,3,2,2,4,3,1,0,3,4,1,4,0,5,2.7485576,4.419876,1.4196229,2.3240924,2.077997,2.3434472,no
3,5,2,1,3,2,2,3,4,2,3,3,4,4,0,0,5,0.70548683,4.2083735,0.045157373,3.7240753,4.31678,4.678284,no
5,1,2,4,1,1,4,2,2,2,3,4,3,3,3,4,0,3.4505992,2.9563239,1.6894966,1.2187606,1.3800025,1.4155877,drop
3,0,3,1,0,0,5,5,4,2,4,0,1,5,0,1,1,2.4292862,2.3817434,0.27578622,2.5200458,3.8095036,0.6616372,drop
4,3,5,1,4,0,2,5,3,0,2,0,4,4,4,0,1,2.4781642,0.017556548,2.909801,1.5476757,4.1592684,3.1950083,drop
3,4,5,4,1,3,0,3,1,3,2,3,0,3,1,0,4,2.3692133,0.14531165,0.7211238,1.5039009,0.9079528,3.773537,no
2,0,4,1,2,4,1,3,1,3,4,0,4,2,1,5,3,3.150885,0.5101684,1.031079,2.8790805,3.9163897,0.29303372,drop
4,0,5,2,4,1,3,1,3,4,4,1,5,2,3,1,5,0.28299183,0.34160525,3.1490445,1.3247206,4.3331065,1.4843404,no
2,3,2,2,4,3,4,2,3,5,3,0,1,4,5,3,0,4.7721295,3.3009505,3.1895256,4.6381702,1.0792845,4.405253,drop
0,0,5,0,2,5,0,5,5,0,4,1,2,0,5,3,1,3.249049,2.048323,1.0043433,1.575326,0.37914902,2.953845,drop
4,1,5,1,1,2,0,4,3,0,2,4,3,4,3,3,5,0.91950417,1.6971419,2.1118462,3.3314848,3.4894462,1.4355701,drop
3,5,4,3,4,0,4,1,3,1,1,2,3,4,2,3,5,2.5226781,3.676144,4.645375,4.975401,2.8227024,2.2163632,drop
4,5,0,3,2,3,3,5,2,3,1,2,2,0,1,1,4,0.641737,4.103379,0.85087687,3.6403399,1.9516757,4.3228893,no
4,1,5,1,2,0,5,1,4,1,5,5,4,4,1,2,5,1.9019828,4.0686936,1.2430781,1.52412,2.9359684,3.065763,drop
0,1,5,1,4,4,2,1,5,3,5,2,0,2,2,0,3,0.16877979,1.80273,2.6031537,0.6708628,0.28120935,2.4514816,drop
1,2,4,5,0,0,3,5,3,1,5,4,4,5,3,4,0,1.4918935,2.0720763,4.1382256,0.7669854,3.007277,3.7832615,drop
0,3,2,5,2,0,3,3,3,0,1,0,4,0,5,5,1,2.9634829,1.8961086,0.65818906,2.243694,4.9373074,3.4750876,drop
3,3,0,5,0,5,5,0,4,5,5,0,1,5,1,0,0,1.7431083,4.1908755,0.96438915,3.7235508,0.35052627,1.0904044,drop
1,5,5,3,2,5,4,2,2,0,5,3,1,1,3,3,5,1.2498341,2.0832016,0.7366356,4.300447,2.138115,0.5276391,no
5,1,1,2,0,4,5,1,5,5,4,2,5,5,5,4,5,4.91036,0.5383715,2.8686693,0.6096637,4.183942,1.9678044,no
5,0,3,5,4,1,0,5,2,1,5,1,4,5,0,3,5,0.3814596,1.9024978,2.466804,2.7780962,2.285427,3.1818173,no
3,4,1,5,3,0,0,1,5,0,3,4,4,0,5,3,3,4.7625556,4.2554636,1.0677987,1.8897092,1.1357701,2.894528,drop
4,5,1,3,4,5,1,2,1,0,5,2,0,4,0,5,5,2.5736308,1.7260244,1.9489914,2.2473664,4.489378,3.6867201,drop
1,3,3,0,4,2,2,5,5,5,0,1,4,0,0,5,0,2.4245522,2.7094178,2.8039086,4.2753167,3.1939874,1.880615,no
3,3,4,1,2,0,5,0,5,4,3,0,0,2,0,2,0,0.043081343,4.6684027,0.9844783,4.1771297,1.0432448,3.2381072,drop
1,1,0,1,4,0,4,4,2,3,5,3,5,3,0,2,3,1.6219614,0.9933466,2.4739032,2.3957477,3.159894,3.4925017,no
0,0,0,1,1,1,2,0,0,0,3,2,3,5,0,2,0,4.5850577,1.2965631,3.8675175,4.4333625,3.350727,2.5639951,drop
4,0,2,1,1,2,1,3,3,0,4,5,3,0,3,3,2,4.618669,3.7930038,2.432827,1.0847044,3.639362,2.1239243,no
5,5,1,5,3,5,4,0,4,2,2,3,3,1,1,4,0,1.0905933,2.7770696,4.7175713,4.967294,1.2172463,3.433972,no
2,2,2,5,0,0,0,5,2,1,2,3,2,2,4,1,4,0.6107831,4.441103,1.2705066,1.6260129,2.1552837,3.618431,drop
4,5,1,4,5,2,3,2,4,2,5,5,5,0,0,1,0,2.6653266,2.7679634,0.2758783,0.121349394,0.6699261,0.7961792,no
5,0,0,4,1,5,1,1,5,3,2,3,5,5,5,0,0,2.8964815,4.6723666,3.4596286,2.1782255,3.482021,4.188443,drop
2,4,1,5,0,0,4,4,2,3,1,5,1,2,1,0,3,3.472437,3.8312695,2.3123214,3.4709907,1.8267518,4.819443,no
5,4,1,5,3,1,0,2,0,1,4,3,2,5,5,2,2,4.4515724,2.065754,1.3216994,3.7418637,3.9758456,3.4438648,drop
5,2,0,4,2,3,0,2,5,0,0,1,4,3,2,4,5,4.4764643,2.5250509,3.2396564,1.1227403,0.47463,2.8619173,no
0,2,0,4,1,2,0,3,3,0,1,0,4,1,5,2,4,2.575222,4.6139364,2.5763035,1.9632497,2.7398374,2.393876,drop
5,0,4,3,5,1,2,4,4,0,1,5,3,4,3,3,3,4.123865,2.2287724,2.963408,2.2598815,1.2912297,3.2285964,drop
4,3,2,1,4,3,5,2,2,2,0,5,3,1,2,2,0,1.5458423,3.1037064,1.0719063,4.29054,1.4497352,3.0313869,no
0,5,3,4,2,3,2,1,2,0,4,5,5,1,4,0,4,4.043876,0.49578607,2.2049978,4.933482,3.3309612,1.9292945,drop
0,2,5,5,5,3,3,3,0,5,3,4,4,0,1,5,1,4.0570774,2.6935337,0.05817026,4.2499385,4.6578507,3.6728432,drop
1,4,4,2,4,0,2,1,2,2,1,4,1,0,1,4,1,4.895327,3.6293244,4.617684,0.46260834,1.9375792,4.6516476,no
5,4,5,4,1,1,4,4,4,1,2,4,1,0,0,5,0,1.9484687,3.0142643,1.8872848,4.116777,3.2614126,4.5880227,no
3,2,1,2,2,0,1,1,3,1,1,4,5,4,1,5,1,3.9989555,0.79524815,4.611224,3.768498,0.5128038,1.9503301,no
2,3,0,4,0,0,5,5,1,5,4,5,0,4,4,4,5,3.0620263,2.4336753,1.8339374,0.9751946,1.4923778,4.705997,drop
1,5,4,5,4,2,3,5,1,4,1,4,1,3,2,4,4,3.7799768,0.35211265,4.350363,0.8169627,4.1020885,4.588151,drop
0,3,2,4,1,1,0,4,1,1,1,1,1,4,4,5,3,3.1485965,2.5623145,0.7309425,0.033905804,2.4776225,3.7747834,no
4,5,5,4,3,2,0,1,5,4,1,2,0,2,0,1,3,3.873426,1.9673294,4.3795567,1.4847317,3.0171633,2.8957338,no
4,5,0,5,4,2,5,2,2,4,5,5,0,3,4,3,0,0.61766297,0.2432546,3.932731,4.270808,4.8980823,1.3428702,no
4,2,3,1,2,3,1,0,4,1,4,0,2,1,4,3,1,3.0082736,3.252267,4.5341153,3.3615067,3.333995,1.5270159,drop
3,1,0,4,0,2,5,0,2,1,3,2,1,3,4,2,0,1.6188097,4.8778157,0.26631534,3.6770365,1.1062992,1.2397897,drop
0,5,2,5,1,1,3,2,0,2,4,1,0,2,1,5,3,1.1505926,3.0782528,2.5551486,0.6222674,4.140031,0.645276,drop
2,3,3,4,2,2,5,4,2,0,4,1,5,1,0,3,1,1.8073258,1.0682684,2.8052425,0.9570673,0.85436285,1.8885086,no
3,2,0,0,2,2,2,0,4,3,0,3,1,1,1,5,2,4.437983,0.9032744,1.2584406,4.3852625,4.58355,3.180513,drop
4,2,3,0,1,1,4,0,5,3,4,4,2,1,5,2,0,3.071869,1.8914747,4.6246285,2.8954542,4.445577,1.1723158,no
5,0,3,4,3,5,1,0,1,4,0,0,3,3,2,5,1,2.9358912,0.553734,3.388402,1.2509861,2.7500594,3.6399446,no
0,0,0,4,5,4,2,5,1,4,1,2,2,1,5,4,2,4.177252,4.198375,1.9546435,2.3370495,0.10747373,1.7001855,drop
2,5,4,2,1,5,1,5,2,0,0,1,4,3,3,2,0,4.372,0.15925348,2.8873456,2.696474,4.9772205,3.049626,drop
2,4,0,3,3,2,0,5,2,4,1,2,0,1,1,1,0,2.435606,3.816506,4.0577283,0.9447041,4.941986,1.0237151,drop
3,4,2,5,0,2,0,4,1,4,1,0,4,4,0,3,2,4.610115,4.7580447,4.244091,1.9869866,2.663949,1.961624,drop
0,0,3,3,4,2,1,1,2,2,3,2,0,0,4,0,5,2.1966493,3.428967,4.5951214,1.4294991,2.2385812,1.6215196,no
3,0,0,2,2,5,4,2,5,0,3,2,4,4,4,1,0,1.4842579,3.3868468,1.6677728,0.4325837,1.8461359,4.317067,drop
1,0,5,4,0,2,1,4,2,2,5,5,2,2,3,2,1,3.7215996,1.8356115,1.5266678,2.6109052,4.832582,0.60857654,no
0,1,0,4,1,1,3,5,3,0,2,4,4,4,2,3,1,2.673415,4.888434,3.9230993,1.4385128,1.6377888,1.0343657,drop
1,5,3,2,5,1,1,2,5,0,0,0,5,0,0,1,5,3.2514958,3.752062,3.6818874,4.5096498,4.695485,2.0830603,drop
4,2,0,5,1,1,4,4,1,3,1,4,1,2,1,1,3,2.9255888,1.8410718,4.919393,2.5134335,0.08110702,2.9519434,drop
3,4,0,4,2,2,5,1,3,1,1,5,2,3,5,2,1,0.22205561,4.8603525,3.9492807,3.2406414,4.99518,4.5855927,no
3,2,0,4,4,2,0,3,2,4,2,0,2,3,5,3,2,2.1766474,0.8023092,1.2716168,0.45536995,1.442714,1.6383705,drop
0,0,3,5,3,3,2,1,1,2,4,2,0,4,4,4,2,3.333526,1.4417102,4.626222,4.0275364,2.4470398,3.218924,drop
2,0,2,3,3,0,5,5,2,4,1,3,0,1,0,5,2,4.916768,1.8127825,4.5482807,2.4383578,2.6385393,2.266536,drop
3,1,1,1,1,2,5,3,2,5,5,4,0,0,1,2,4,1.8218476,1.1568147,0.3465852,1.4593699,4.174016,4.822505,drop
0,4,1,5,3,3,2,4,0,0,2,1,2,1,4,0,4,4.668879,0.9072718,4.336437,1.8888408,3.2910833,0.39364815,drop
1,5,1,1,3,1,5,0,0,3,4,0,5,3,4,1,4,1.860291,0.8107364,2.3225987,0.6422949,4.334339,4.088317,no
5,5,2,2,0,3,3,4,1,2,4,0,2,2,1,2,4,0.21504939,0.29746622,4.432657,2.4451935,0.11626482,1.9908303,no
4,5,1,3,4,3,2,1,1,2,2,0,4,3,3,1,4,3.6589594,4.777002,3.4882026,4.1395874,3.0850732,3.3731213,no
1,5,5,0,3,1,3,0,0,4,3,1,4,4,2,2,1,0.46581686,1.2255528,4.8025255,0.12085259,0.5209771,0.30486465,no
5,0,5,0,2,1,5,4,4,4,4,0,3,4,2,3,5,4.930344,4.045531,2.7721617,3.2486393,3.7015157,1.0487872,no
3,1,2,1,3,2,1,1,1,1,4,3,1,3,5,3,5,0.76337457,0.025925338,4.628311,3.0853777,4.7568145,1.2243813,drop
2,1,4,1,1,3,3,0,5,3,0,4,0,0,5,5,4,3.9066184,0.09962678,0.8410853,2.9270756,1.835995,2.7367854,drop
1,3,4,1,2,2,1,5,5,4,0,3,3,3,5,0,4,4.2636814,2.19458,3.020328,2.3916652,2.9321811,4.362227,no
0,5,1,0,3,5,5,2,5,1,2,1,2,1,2,5,3,4.7795014,0.3742233,0.587804,2.4781525,3.4915576,1.5048093,drop
0,1,3,3,3,3,1,3,1,1,3,5,1,2,3,4,4,4.598029,4.756954,4.334458,1.024188,1.0178683,1.3878074,no
1,0,1,2,4,0,5,5,1,4,2,0,1,4,3,4,5,3.084195,0.36699623,4.6736927,0.34936875,1.6198816,2.7318132,drop
0,0,2,1,5,4,1,1,4,5,2,2,3,0,0,3,1,0.6864947,1.684365,0.5953175,2.944603,4.4959106,1.5653136,drop
1,2,2,4,3,0,0,1,1,0,5,0,2,0,5,4,2,0.25981396,2.3909714,2.010822,0.23321569,4.688816,4.6508136,no
4,5,2,1,4,0,4,1,1,1,3,5,2,5,5,1,2,1.700874,4.7604523,2.147708,4.3488083,3.9755986,2.527633,no
1,4,1,2,5,1,0,3,0,5,0,2,5,4,2,4,5,3.031474,2.9064317,0.05936265,0.21514654,2.760478,2.6942878,no
2,1,4,5,5,3,5,5,2,5,1,4,3,2,3,2,0,1.2619998,0.10008097,0.27107805,4.214363,3.3333883,4.0775895,no
1,3,1,1,2,2,2,2,1,2,5,5,0,5,1,3,1,3.8122807,0.64520955,3.7575917,0.35536408,1.7799368,0.44202656,drop
3,1,5,5,1,5,1,5,5,0,2,5,3,4,2,1,5,3.9363732,4.4164796,2.3125055,1.8592832,3.2963533,4.0284095,no
5,4,4,1,5,2,0,2,3,1,1,2,0,0,3,5,1,0.50221026,4.745181,3.2579699,1.6665878,0.8981332,3.8122435,no
5,0,1,3,5,5,0,2,2,0,5,3,1,3,4,4,4,1.5723898,1.2946618,1.6897547,1.7121917,4.8749895,1.5289006,no
1,0,4,5,1,0,2,2,4,0,2,1,4,2,1,1,4,4.647511,2.609608,1.0469526,3.542527,4.7887163,1.8594939,no
2,0,4,5,4,1,1,0,1,4,2,0,2,5,1,1,0,4.5115094,3.8215752,4.450783,1.7285695,4.325591,3.954983,drop
5,5,2,2,2,3,0,4,1,3,3,3,2,4,1,4,1,3.2479005,2.5670333,1.5340736,3.8687844,1.4116035,4.222648,drop
4,4,1,2,2,4,0,1,5,5,3,1,2,5,4,5,2,1.9207647,1.3414361,1.5599877,0.90671957,0.97201407,3.7615824,drop
0,4,4,3,2,1,0,2,3,0,5,2,2,0,0,4,4,0.6854519,3.8641043,3.534945,3.11108,4.4179406,3.5874283,no
5,2,2,1,4,1,2,4,3,1,0,2,4,5,5,1,0,2.5382571,4.228247,1.6217488,0.54775774,4.0002275,4.885476,no
1,4,0,4,4,0,5,2,1,4,4,4,5,3,5,0,3,0.4715076,0.41685402,3.892598,3.911131,4.070173,4.034731,drop
